	SCR_0pt5mM_A	SCR_0pt5mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B
ENSMUSG00000040613.14|Apobec1	3.32182826284614	3.07640213747735	1.62424054823787	1.65222173904779
ENSMUSG00000040616.3|Tmem51	4.58956366240783	4.41272739602948	5.41808020699052	5.58717282649457
ENSMUSG00000040618.7|Pck2	8.15967772672245	8.02522451962839	6.76207653405826	6.84832698011102
ENSMUSG00000040620.15|Dhx33	6.16829612735668	6.197004841951	5.52829409563523	5.29821315019435
ENSMUSG00000040621.14|Gemin8	3.53455218132376	3.73287865805718	4.19304077485721	4.26776732545214
ENSMUSG00000040631.8|Dok4	4.38085049828851	4.20809912107482	4.98641583966838	4.9936742123706
ENSMUSG00000040640.11|Erc2	0.384456498369977	0.702668562304092	0.116187941765631	-0.0113618998022477
ENSMUSG00000040648.14|Ppip5k2	7.50912022068031	7.59432162273674	7.94733420205958	7.8106337641325
ENSMUSG00000040651.9|Fam208a	6.21926133491138	6.32095606603615	5.89701057845092	5.8685127186587
ENSMUSG00000040652.16|Oaz2	6.13150083681874	6.18622222508409	6.51596154922386	6.4219965337076
ENSMUSG00000040658.7|Dnph1	4.81135177026958	4.83775270839646	3.78450836410835	3.91838411165304
ENSMUSG00000040659.3|Efhd2	4.35178746967397	4.34258990467472	6.20967813998489	6.26814904791183
ENSMUSG00000040661.6|Rad54l2	5.85948135855605	5.87074286653792	5.54714620778618	5.24626007161316
ENSMUSG00000040663.9|Clcf1	6.39599364998416	6.51706670342531	6.33483330865737	6.43052233996605
ENSMUSG00000040667.11|Nup88	6.80721837133594	6.87136645607891	6.72505194986151	6.79452137668546
ENSMUSG00000040669.14|Phc1	4.84998519344241	4.80253794954319	5.24662885872118	5.19086651798854
ENSMUSG00000040675.17|Mthfd1l	6.33591497462461	6.3411554573896	4.72545846985926	4.73265181107917
ENSMUSG00000040681.16|Hmgn1	8.98288988197907	9.22712236152671	8.43621873551896	8.46875592292489
ENSMUSG00000040687.16|Madd	4.89435983949225	4.82852046916661	4.99875199291111	4.93201063589638
ENSMUSG00000040688.16|Tbl3	6.4971816768495	6.28595972961359	5.77754155953113	5.76856223317444
ENSMUSG00000040690.15|Col16a1	2.65400907692486	2.61795866922663	1.75826865762766	1.82112480399392
ENSMUSG00000040697.10|Dnajc16	4.64837897770815	4.57122186128674	4.60535073624718	4.60505510195128
ENSMUSG00000040699.13|Limd2	6.76701266079987	6.56241144808438	6.78129908231949	6.80571698301469
ENSMUSG00000040701.16|Ap1g2	4.81135177026958	4.60535073624718	4.81109919756708	4.80123646740416
ENSMUSG00000040703.11|Cyp2s1	4.84998519344241	5.02563079808791	7.17814685955689	7.2644610492234
ENSMUSG00000040710.10|St8sia4	-0.579092121378122	-0.511782082585877	2.57375271545523	2.31792142645704
ENSMUSG00000040711.7|Sh3pxd2b	7.25970475457447	7.20107410015141	7.52862335292625	7.45539628420844
ENSMUSG00000040712.16|Camta2	4.67686500942813	4.48935701098301	5.59678190101722	5.69142660287329
ENSMUSG00000040713.12|Creg1	5.30542101431177	5.5167018496451	6.18946345284527	6.28842030919109
ENSMUSG00000040714.14|Klc3	3.06242572834853	2.95967613237144	2.54458796718168	2.21424634114502
ENSMUSG00000040715.12|Rsc1a1	3.09509774127546	3.07640213747735	2.59079652555442	2.65605836516652
ENSMUSG00000040717.6|Il17rd	1.01460782705827	0.917734724568755	1.69721887369433	1.56165971600557
ENSMUSG00000040720.15|Virma	6.09933319826087	6.0832124262868	6.22568582304342	6.08522953313612
ENSMUSG00000040721.9|Zfhx2	3.83729549134045	3.79348584940205	4.72050252103109	4.82290270445137
ENSMUSG00000040722.7|Scamp5	5.49633447081737	5.54103871219548	6.60045811698525	6.55178857121014
ENSMUSG00000040725.13|Hnrnpul1	7.23978706385209	7.23130435696987	7.22933822843809	7.18487297956941
ENSMUSG00000040728.15|Esrp1	1.9396765640419	2.09331155275573	0.257435774909779	0.438398298503766
ENSMUSG00000040729.7|Cep126	0.384456498369977	0.298671611497676	-1.35007067057565	-1.56769910677447
ENSMUSG00000040731.13|Eif4h	8.30621799885792	8.25154724030915	8.20333103905189	8.04035142488643
ENSMUSG00000040734.14|Ppp1r13l	3.59263340498056	3.62668493607282	3.63557619010692	3.54897599174889
ENSMUSG00000040738.10|Ints8	5.34235857163853	5.4325706068378	5.4160657205495	5.50954341515419
ENSMUSG00000040740.7|Slc25a34	-1.20823475855441	-1.99852858288246	1.17642986699273	1.54167133062874
ENSMUSG00000040746.15|Rnf167	4.15680944258812	4.16089057565647	5.32104435720449	5.4042899264539
ENSMUSG00000040747.9|Cd53	5.02204116926493	5.10079362777784	1.45879038327065	1.38254284358886
ENSMUSG00000040749.11|Siah1b	3.30530240722965	3.44913928750085	1.94950332547001	2.21424634114502
ENSMUSG00000040760.11|Appl1	5.5379234452417	5.63179798706123	4.50485891962565	4.33820407525865
ENSMUSG00000040761.16|Spen	6.35423795014368	6.23517489398975	5.76065938329159	5.69255437298959
ENSMUSG00000040767.10|Snrnp25	4.28164968097723	4.06845552513125	3.98082455900272	4.02444185938215
ENSMUSG00000040771.14|Oard1	4.84692440292316	4.9329468623812	5.00372872716429	5.12918216898611
ENSMUSG00000040774.15|Cept1	6.69146836807762	6.74184590279015	6.52811357682206	6.61892609681309
ENSMUSG00000040782.12|Cop1	6.48122853607803	6.44904196555442	6.5342262493836	6.47920182909362
ENSMUSG00000040785.19|Ttc3	7.25103196159822	7.25970475457447	7.49310343378936	7.41842767747673
ENSMUSG00000040795.12|Iqcc	3.92608796776516	4.04301021027191	4.13388202009229	4.32084802214748
ENSMUSG00000040808.4|S100g	0.481007397114091	0.0734788194115364	1.83017712836058	2.00941576984005
ENSMUSG00000040811.15|Eml2	5.98776303677894	5.71489421981817	5.95391283419383	5.9933895150734
ENSMUSG00000040813.16|Tex264	5.39324945751692	5.2297135412306	5.20657458185501	5.36434252715212
ENSMUSG00000040818.10|Dennd6a	5.21426148329329	5.31715380404337	5.62557643578406	5.60310954928347
ENSMUSG00000040820.16|Hlcs	5.53436167319525	5.55894893199837	5.60280032310579	5.45709307965561
ENSMUSG00000040822.7|1700123O20Rik	5.33732731561646	5.36434252715212	5.09289288169346	5.01867239596548
ENSMUSG00000040824.3|Snrpd2	5.91374023332957	5.60743827527704	6.31391271363872	6.47498067810319
ENSMUSG00000040828.10|Catsperd	1.60510901334935	1.63346011170138	-0.454484965311331	0.116187941765631
ENSMUSG00000040829.14|Zmynd15	2.91571688953122	2.84881759823546	3.02897210958045	2.95099250552541
ENSMUSG00000040836.15|Gpr161	2.80157056268663	2.61795866922663	2.1875082460513	1.84125775736717
ENSMUSG00000040838.10|Gm11639	1.56165971600557	1.65222173904779	0.481007397114091	0.305608500571638
ENSMUSG00000040841.5|Six5	2.65400907692486	2.22845139034202	3.11902903547085	3.31862887497902
ENSMUSG00000040842.17|Szrd1	6.58902749748103	6.4832597976515	6.65218819775582	6.5880660565517
ENSMUSG00000040843.10|Tiprl	5.94572241651289	5.90659601203434	5.4610711511514	5.46339256417854
ENSMUSG00000040848.11|Sft2d2	8.4776923804419	8.42174421504551	7.98690225703425	7.95887461488048
ENSMUSG00000040850.17|Psme4	7.26527419942081	7.30636333209518	7.18191817225873	7.03939584686649
ENSMUSG00000040852.6|Plekhh2	4.44420119791048	4.4438803136975	1.90880343116977	1.68371647437269
ENSMUSG00000040855.15|Reps2	0.3176320726219	0.590421508514363	1.58137180833924	1.11141481749738
ENSMUSG00000040857.15|Erf	5.18000707472684	5.16933694272201	4.97814588703544	4.86731155676943
ENSMUSG00000040859.14|Bsdc1	5.09460464085619	4.98413021660047	5.1448664635221	5.16670838276652
