	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B	SH1_4mM_A	SH1_4mM_B	SH2_0pt5mM_A	SH2_0pt5mM_B	SH2_4mM_A	SH2_4mM_B
ENSMUSG00000055917.15|Zfp277	5.12123921201487	5.17151377041663	5.22173608202395	5.28297269298858	5.28253516866042	5.23038476685528	5.45644816458124	5.54264473338059	4.9787939554011	4.91658016602036	4.96331168281742	5.03555779125052
ENSMUSG00000055923.16|Aasdh	3.84147602168199	3.91126913738385	3.92159403368467	3.9280828427481	3.97324193338241	4.00897803292503	4.11994043026596	3.95799497157397	3.69877726136264	3.68662808437174	3.65803743212238	3.71223411945956
ENSMUSG00000055926.2|Gm14137	5.21570102515431	5.14510459079623	5.27514972219386	5.19478126932283	4.5287489799385	4.61300364699019	4.97886789427066	4.93685451636892	5.30416566619601	5.28826327732155	5.07554385693795	5.14060895216799
ENSMUSG00000055932.15|Fto	5.79448205667715	5.65460191823728	5.65739395927919	5.75623029011992	5.81532603225242	5.64736175983165	6.09899700461501	6.13322215165288	5.77572867827823	5.73929921263101	5.65930187941906	5.67665638790928
ENSMUSG00000055943.5|Emc7	5.62703355387238	5.76879102911808	5.72196582114813	5.76879102911808	5.71176990108004	5.63478024161704	5.61247879808893	5.76897153802852	5.69211898861676	5.74920082762664	5.80577399098146	5.8111397026796
ENSMUSG00000055976.6|Cldn23	0.0763806976347596	0.344640864435499	0.381325608708713	0.611809990542313	-1.21536994016232	-1.0183986790125	-1.97133623678838	-0.766470472617798	0.0967638352506976	-0.0436211354471777	0.0881968863019621	0.238910085646369
ENSMUSG00000055978.5|Fut2	2.67157692855089	2.70558484045377	4.20665629271445	4.27024449155665	6.07144359319935	6.06968135095247	6.44998270491129	6.48330203969094	3.90790351269052	4.15907338760637	4.44383068446313	4.67948355897386
ENSMUSG00000055980.2|Irs1	5.73109417284957	5.62598101010439	5.37692498391407	5.39047605962839	5.44908682844695	5.39287834468057	5.63701256548256	5.66124962843736	5.39287834468057	5.21595468555053	5.40862062917957	5.29672100483156
ENSMUSG00000055991.15|Zkscan5	3.67580295860263	3.58339558778149	3.36992540006574	3.52945484332756	4.09984740918277	4.2805461230861	4.11994043026596	4.10520617849134	3.5809679087623	3.46505291497534	3.57591518153733	3.35806927553657
ENSMUSG00000055994.15|Nod2	-0.255480600733241	-1.01038073607423	0.0281821466221619	0.0881968863019621	1.54344187334034	1.23460220359351	1.58225509425925	1.93055157871037	0.958366805474247	1.04250459400404	0.301156123093035	0.0259555108321006
ENSMUSG00000056004.16|9330182L06Rik	0.574386086403158	0.29140283799385	0.712773353474564	0.45592530795052	-3.7003648090715	-3.78613830459211	-2.74278558134115	-5.21515362738794	-1.34303090937263	-0.564847857878071	0.242788634474455	0.238910085646369
ENSMUSG00000056014.15|A430033K04Rik	2.60965315103065	2.80119904674497	2.22227589113388	2.18496794909847	3.08713151973287	3.02188844169845	2.7248622894812	2.57580360466477	2.07130477103597	2.12472294900194	1.99261474470112	1.69757107939035
ENSMUSG00000056019.12|Zfp709	1.4869773098539	1.6292874345554	1.29045653966883	1.11398519802747	-0.360803802907713	-1.17936068910917	-0.736854990621011	-0.841614159110528	-0.360803802907713	-0.132750324090433	-0.158774411958832	-0.2077031336584
ENSMUSG00000056025.12|Clca3a1	1.65524968148278	2.03257644144317	2.64968116135559	2.49064788632211	4.92458220927825	5.07018545781456	5.43121311284078	5.74933295658516	3.42026309732809	3.32546854982876	3.27232539861324	3.44745613286487
ENSMUSG00000056050.12|Mia3	6.15864614369136	6.05848447000259	6.15275662973305	6.159019271211	6.22261182166638	6.27338800484856	6.37191526788243	6.38633731522213	5.85838191369453	5.84710090011891	5.86703258498991	5.86915406660049
ENSMUSG00000056071.12|S100a9	-0.813971732803865	-1.24892284603059	-0.145058040472271	0.188424205848349	-1.81867447139078	-2.44632061754946	-0.736854990621011	-0.68033246554469	0.882102523860626	1.12609785474678	1.78666799843055	1.12708332424947
ENSMUSG00000056076.13|Eif3b	8.30001385114668	8.21283753114784	8.25394168544751	8.32827876944243	7.88695604119393	7.82305290203349	7.7703619862064	7.54946944098277	8.40370585008228	8.35268419433954	8.43558305059189	8.33692575678767
ENSMUSG00000056091.12|St3gal5	3.90388847976584	3.85381718424837	3.65864352091956	3.65898313862207	5.01215339069654	4.93033888418976	4.96099945512283	4.93881357800718	4.06535345738296	4.0465986220885	4.07150577936958	3.79978901645202
ENSMUSG00000056116.18|H2-T22	4.82633076936409	4.68761486426612	4.61922822323164	4.44868552700035	6.01267341855918	6.05632661253898	6.01267341855918	6.10061395169964	4.60178622021511	4.71509050881212	3.95619083285935	4.20385477832169
ENSMUSG00000056121.16|Fez2	6.65232159662713	6.73215766349271	6.4580132041785	6.52059969935927	5.52449341182761	5.48347656374819	5.40444989976611	5.49156153521238	6.33661803337605	6.27629754431752	6.49013348056821	6.43471799047234
ENSMUSG00000056124.5|B4galt6	6.22930289704699	6.38190254555346	6.41607620668903	6.34826816926493	7.49426325303347	7.34454698646173	7.4806893941831	7.29469753244402	6.67729702054681	6.7848878170013	6.53383106297457	6.63781391075927
ENSMUSG00000056131.13|Pgm3	3.89595658272922	3.87662631359065	4.18532825761291	3.95755774301781	4.83262750086839	4.77600493683929	5.00192798756269	4.76420399753889	3.88174255102247	3.86875837854517	3.74840239393455	3.77478255483609
ENSMUSG00000056144.14|Trim34a	0.774220931654833	0.840208426863486	0.745725743434796	0.497941636873128	1.50029978680505	1.68672715794936	1.62411136420849	2.05457510065291	0.0967638352506976	-0.389672935522179	-0.21371561580472	0.0802592464628454
ENSMUSG00000056153.15|Socs6	6.92046773804224	6.89518019057236	6.9090741341313	6.82674033504002	5.97755272969879	5.90042672124068	6.10898508880295	6.03824913309569	5.97499573841999	5.95235254814308	6.04328730434814	6.0110240393627
ENSMUSG00000056167.7|Cnot10	5.61052322232404	5.57781614038648	5.5315533034173	5.45359153293567	5.53959925558357	5.48954597935381	5.3776958735977	5.26771450969853	5.42488713118667	5.38944573849803	5.25745094132266	5.3209091850719
ENSMUSG00000056185.5|Snx32	3.07705024559178	3.01760378561619	2.63855159904329	2.44771146454087	4.66786946145144	4.8026513548463	4.8627932890832	4.90411542415614	2.99989339741877	3.08115635519442	2.31712158116156	2.33243763362072
ENSMUSG00000056201.8|Cfl1	9.27363364562026	9.20737282385615	9.08992560623274	9.14009284419204	9.86736307872198	9.8843939978497	9.68073087158722	9.61657105357279	9.51516968705317	9.53203774137118	9.47312114132483	9.44021244859701
ENSMUSG00000056204.8|Pgpep1	4.8662677945089	4.85871744664062	4.35728304589886	4.4139082625307	5.18564536136515	5.09305863249589	4.8213859128433	4.86697992721787	4.71509050881212	4.69838528835915	4.49621731787806	4.55390752666794
ENSMUSG00000056209.7|Npm3	6.18514319246327	6.04648055040916	6.19714054794185	6.14634255318437	5.30112457696964	5.45779533977378	5.37271202256831	5.43332194780218	6.3895667681993	6.28910193678888	6.66005659670403	6.59899043692287
ENSMUSG00000056211.13|R3hdm1	6.52426094350751	6.56957568303649	6.27079592166856	6.32814679958124	6.35423042703736	6.31741000442138	6.36933100842232	6.34316305683225	6.17930324281126	6.11662308205474	6.0056408052847	6.05111434648138
ENSMUSG00000056215.13|Lrguk	-1.0317707350286	-0.733096748580528	-1.18938520858564	-1.17936068910917	0.474232382857251	0.611809990542313	0.421386125520862	0.314509788745697	-2.18451123496567	-1.03978867796688	-1.62435633301335	-0.87798570062082
ENSMUSG00000056216.9|Cebpg	7.68593952053843	7.81214753956549	8.00066557347707	7.90027253161738	6.14236821449756	6.16010571440016	5.75374603665141	6.3169254833328	8.06946301238566	8.0183322010021	8.19491903908878	8.19491903908878
ENSMUSG00000056220.14|Pla2g4a	6.02056460357281	6.09670947795474	5.93012284005358	5.93615496238802	6.00972634439305	5.95435822959352	6.34401538992606	6.37221284179769	5.07398095061269	5.12281536216193	5.09455056619478	5.24286343744593
ENSMUSG00000056228.10|Cars2	3.50906812718483	3.40725068451137	3.31391229300779	3.2575674204928	3.82323380150259	3.83319818085218	3.65061884996667	3.63282180236722	3.17852578881692	3.29817443751375	2.99865891390226	3.06800527022884
ENSMUSG00000056234.15|Ncoa4	8.63457465471699	8.7301244981657	8.61917875165069	8.59124909543394	7.99770165366619	8.02994231484037	8.05268696572766	7.99397681083458	7.91906084763622	7.91403625071775	8.08478771508108	8.10806731828
ENSMUSG00000056260.15|Lrif1	5.38921826141042	5.49336772005984	5.67373237980387	5.54798975813898	5.13513383898962	5.17530592059683	5.65671129769081	5.66948174092397	5.06529563338002	5.085838419144	5.27533856913761	5.22751774016662
ENSMUSG00000056267.14|Cep70	3.2748383751026	3.43548210213012	3.29171152990463	3.07193530256558	3.3904459815942	3.34211518513502	3.23317585927943	3.32269899099411	2.74288319074332	3.21754856060122	2.84579360679707	3.02694297256519
ENSMUSG00000056268.15|Dennd1b	5.42190844640462	5.58707189098594	5.63264747415227	5.62191680019559	5.28959611234439	5.31223757225189	5.55802095726466	5.53393270899951	5.38357904651861	5.49676975941424	5.59027807831196	5.59844454774837
ENSMUSG00000056296.17|Synpr	1.53670647438605	1.34400565476289	-0.915691798213273	-1.2966647969956	-1.40033322706749	-1.59727615343193	-2.74278558134115	-2.21472540824773	-0.360803802907713	0.157382171035236	-1.17076956469549	-1.01038073607423
ENSMUSG00000056305.4|Usp39	6.69658610475096	6.68764574765939	6.64793141298265	6.66876422614893	5.91478237021442	5.88138814504239	5.62607955591248	5.5582254254984	6.67355237524899	6.65142192212435	6.81516175951736	6.83854383521567
ENSMUSG00000056310.14|Tyw1	4.97054019673249	4.89133639786741	4.89011745845928	4.94710539592013	5.39252324826158	5.48606516000459	5.25859602143107	5.15199081637495	4.67889680534952	4.74128570330451	4.58143679934252	4.61999192293871
ENSMUSG00000056313.5|Tcim	4.73855160415299	4.80679772860901	5.72891291608809	5.54798975813898	4.03002674419086	4.31293905915961	3.51266301122582	3.71495688855943	5.44896924219217	5.44485838042192	5.87122072007971	5.9121036631115
ENSMUSG00000056342.16|Usp34	7.72297632117208	7.79112479723207	7.76130305582801	7.68992960418728	6.9796393800974	6.81888133582279	7.09471710130078	7.01171450692405	7.69743914737613	7.60675816480578	7.79179853270624	7.7520229676569
ENSMUSG00000056383.10|AI987944	3.59541717572359	3.86730832914312	3.45239174324033	3.4135356348151	4.01830205991708	4.15365645420425	4.12819942927734	4.09555307618792	3.62978956897131	3.71753532845464	3.20916132382631	3.35102028141629
ENSMUSG00000056394.17|Lig1	5.75748055672907	5.70728585107806	5.28433888169789	5.20417262530614	6.22027841476371	6.13003584879796	5.70700828279265	5.29818671529217	5.58184330218733	5.57523619607839	5.16603231833755	5.06437535950271
ENSMUSG00000056413.16|Adap1	3.94062112456888	3.84083488026499	4.56898931083995	4.55095586968224	4.2033780901688	4.25097996420513	4.32932261807662	4.49821132859348	4.77643704620424	4.85930224007713	4.98842366059652	4.92261975588604
ENSMUSG00000056429.4|Tgoln1	8.13902678553471	8.18280592390043	8.08478771508108	8.11935195501718	8.94570361862385	8.79429465076101	9.05327659138262	8.94570361862385	8.28190624981863	8.34336733533999	8.15697323951392	8.26668396812418
ENSMUSG00000056457.6|Prl2c3	6.72463399271011	6.84810590869605	5.55943871553592	5.56312378073467	3.90884328138346	3.92837012813486	2.36617290743962	2.3792280158276	5.28322095643485	5.24049556910325	5.13923954645242	5.12678619981112
ENSMUSG00000056458.16|Mok	-0.255480600733241	-0.421985760325222	-0.27738603278897	-0.372255927921715	0.899492756410967	1.2529356831704	0.577182133045743	0.774220931654833	0.0281821466221619	0.0281821466221619	-0.21371561580472	0.347890375403488
ENSMUSG00000056459.14|Zbtb25	4.20088022122113	4.2786749318272	4.31501248210927	4.19229976636254	3.58584268889973	3.65576932620917	3.69474621613345	3.58074690743481	4.07342655939785	4.0964226441734	4.04155917277418	4.15422652835415
ENSMUSG00000056476.13|Med12l	-3.04043205625204	-2.01266602801025	-1.95413199699943	-2.93856602114067	0.899492756410967	0.807971222365608	0.905189889810065	0.68817426622052	-1.12227769458134	-2.93856602114067	-1.38312898727854	-1.79156400853751
ENSMUSG00000056486.18|Chn1	1.18201401006309	1.20921265266545	1.1039743047257	1.42959608695201	0.036949553452671	0.45592530795052	0.301156123093035	0.39312204629136	-0.198784349222418	0.0281821466221619	0.611809990542313	0.69672459331911
ENSMUSG00000056492.6|Adgrf5	4.21455868295456	4.12847163716279	4.6334968152898	4.6622661266869	4.1960188245973	4.17538587991588	3.8404904136918	3.86080725882806	4.96731458356311	4.76800496940957	5.09625569353598	5.31861070458191
ENSMUSG00000056493.9|Foxk1	6.13884870826809	6.0549378255352	6.05939301153631	6.10115410244733	6.22882589673837	6.06665834562925	6.15246116460316	6.14651649417276	6.37015470235185	6.39632596697854	6.25925266303911	6.17056812495938
ENSMUSG00000056498.13|Tmem154	1.1465882633227	0.949128954476959	0.774220931654833	0.832304873213231	-1.97133623678838	-1.59727615343193	-1.65112636931338	-1.40033322706749	0.590912522666209	0.500874089244986	0.646185511004668	1.2794604658715
ENSMUSG00000056501.3|Cebpb	5.65619317584407	5.97468752297195	5.95235254814308	5.89649290072883	4.21193349025617	4.23247047313743	4.08940111226601	4.72213850545175	5.47268564749939	5.43041554355652	5.52963135049665	5.6593498158597
ENSMUSG00000056515.9|Rab31	6.81013639171209	6.79719259347385	6.45687539587801	6.53166661720258	5.88354877068108	5.8236898173059	5.59069414089863	5.38357904651861	6.4387523614857	6.30101964446983	6.53652026181458	6.40833409796076
