	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B
ENSMUSG00000064307.13|Lrrc51	1.14276909744483	1.1686641762776	1.7657043395365	1.82803415926031
ENSMUSG00000064325.4|Hhip	1.45951381600375	1.53847808753859	1.4359426103637	1.82803415926031
ENSMUSG00000064326.13|Siva1	5.29437505875761	5.30448234885222	4.97491230745738	5.11381606138558
ENSMUSG00000064337.1|mt-Rnr1	7.55559416209096	7.83920269753909	7.16359781663222	7.15140144404741
ENSMUSG00000064339.1|mt-Rnr2	8.14419315814833	8.40192971202038	7.84987197065783	7.79759896676578
ENSMUSG00000064341.1|mt-Nd1	11.3326790634061	11.4400043337484	11.2324476704713	11.2639368992002
ENSMUSG00000064345.1|mt-Nd2	11.0088692642944	11.1963118576783	10.7387963223784	10.7533858733643
ENSMUSG00000064351.1|mt-Co1	13.4903089032626	13.4903089032626	13.4903089032626	13.4903089032626
ENSMUSG00000064354.1|mt-Co2	11.5049964914059	11.5049964914059	11.6219753485662	11.6219753485662
ENSMUSG00000064356.3|mt-Atp8	9.80128429093548	9.63854776507952	9.60814147869443	9.54096389062738
ENSMUSG00000064357.1|mt-Atp6	10.8582564356646	11.2324476704713	10.9426744350087	10.9426744350087
ENSMUSG00000064358.1|mt-Co3	11.6219753485662	11.4820753954702	11.5049964914059	11.5660521715289
ENSMUSG00000064360.1|mt-Nd3	8.57803181230231	8.46726822914895	8.22961088144761	8.02761444412015
ENSMUSG00000064363.1|mt-Nd4	11.4820753954702	11.6219753485662	11.3015581407971	11.3523528507686
ENSMUSG00000064367.1|mt-Nd5	11.5660521715289	11.6690520264409	11.4400043337484	11.4820753954702
ENSMUSG00000064368.1|mt-Nd6	5.17434424327744	5.32794418396892	5.2209813030042	5.12916968535858
ENSMUSG00000064370.1|mt-Cytb	12.1476129644954	12.1476129644954	11.9123910622311	11.9123910622311
ENSMUSG00000064373.12|Selenop	8.43350632571482	8.43148192039195	8.43180782951043	8.38572643750089
ENSMUSG00000065037.1|Rn7sk	0.714562515247715	0.348602950164909	0.548011911464284	0.290931967176263
ENSMUSG00000065947.3|mt-Nd4l	7.76481305475837	7.81527404705739	7.50347031775993	7.37664538000755
ENSMUSG00000065954.11|Tacc1	3.22626017366391	3.05309655209712	3.29573194674066	3.11117863628976
ENSMUSG00000065979.12|Cpped1	3.11462308180899	2.92047611637	2.79370041393346	3.16664549418772
ENSMUSG00000065990.12|Aurkaip1	5.36963682710442	5.15590929928353	5.35937442842499	5.46568126239255
ENSMUSG00000065999.13|Zfp985	1.04841415264039	1.86017394430872	1.29611520439975	1.1686641762776
ENSMUSG00000066000.12|Zfp979	1.82402663180557	1.87985613221496	2.11650823614813	2.32669565906382
ENSMUSG00000066026.14|Dhrs3	6.03141309725975	5.79834280541898	6.76349354289328	6.68767461255324
ENSMUSG00000066036.14|Ubr4	8.47820780300643	8.28966967595099	8.47516696577601	8.47196585763202
ENSMUSG00000066037.14|Hnrnpr	6.54394512133223	6.61939880420652	6.50971886240317	6.52350169665629
ENSMUSG00000066042.4|Med18	2.51888082459998	2.42317493028563	1.98863521306196	2.05254074290661
ENSMUSG00000066043.13|Phactr4	5.75590023807596	5.74014228156538	5.87182870007127	5.82088709039855
ENSMUSG00000066057.7|Gm1976	1.41176741405481	1.29611520439975	0.856105444482695	1.11639812507048
ENSMUSG00000066068.5|Gm13611	0.624846772034779	1.03154599558988	0.955485412044108	0.823870841297286
ENSMUSG00000066071.6|Cyp4a12a	0.302567613660521	0.436468128414765	-0.70129816568643	-0.29669635593634
ENSMUSG00000066108.7|Muc5b	3.81306824203064	3.67095214643491	4.93633131796731	4.71290746852669
ENSMUSG00000066116.3|Gm10154	1.48271413004793	1.5958893196425	1.81625575588988	1.46191834336161
ENSMUSG00000066148.3|Prpf4	5.37827894650979	5.27481079917528	5.16273163829008	5.13616959206897
ENSMUSG00000066149.11|Cdc26	4.63005850820443	4.66554782336165	4.70439491082999	4.63761798445057
ENSMUSG00000066150.12|Slc31a1	5.46683469631232	5.54747232040115	5.49154259136441	5.53376580081563
ENSMUSG00000066151.11|Fkbp15	4.63529997122609	4.58715079089565	5.0073186363998	4.92967701517565
ENSMUSG00000066152.11|Slc31a2	2.79370041393346	2.8038834485527	2.2188086170157	2.53134525271784
ENSMUSG00000066170.7|E230001N04Rik	1.11639812507048	1.35347285743074	1.11639812507048	1.03501411940024
ENSMUSG00000066175.2|2510046G10Rik	-0.485313399690327	-0.146867196874781	0.393207563360472	0.624846772034779
ENSMUSG00000066191.12|Anks6	2.55468280069617	2.61088494565913	2.50391863754607	2.2770657468835
ENSMUSG00000066232.4|Ipo7	9.02831757358531	9.14840164266582	8.83033818405082	8.78801045028727
ENSMUSG00000066233.6|Tmem42	0.456522327000359	0.265936505951641	0.586943494598005	0.775023511790052
ENSMUSG00000066235.7|Pomgnt2	1.55273465605905	1.5958893196425	0.714562515247715	1.27537107038279
ENSMUSG00000066245.5|Gm10156	0.348602950164909	0.0753336284564237	0.765531549240297	0.290931967176263
ENSMUSG00000066258.13|Trim12a	1.18121061556966	0.955485412044108	0.799092678654616	0.878834402183804
ENSMUSG00000066270.3|Gm10157	2.26181155197668	2.73654279184291	2.68614809199155	2.74953231820584
ENSMUSG00000066278.6|Vps37b	6.01656701168144	6.09631387767858	5.57746667563652	5.61256051447624
ENSMUSG00000066306.13|Numa1	7.09098206635469	6.94823360347038	6.94479118609251	6.96790911383317
ENSMUSG00000066315.9|Gm12918	2.92047611637	2.67490206101132	3.13734798811745	2.98160719561156
ENSMUSG00000066324.2|Impad1	6.49897063457147	6.59665939721208	6.44864219833137	6.44715497006267
ENSMUSG00000066357.6|Wdr6	5.57985413969256	5.30808520411105	5.15348168095727	5.29270632128799
ENSMUSG00000066362.5|Rps13-ps1	3.40746384782721	3.22932390178036	3.40335144041419	3.23390878255926
ENSMUSG00000066406.15|Akap13	5.7923163025535	5.7853215460543	5.72307812671971	5.71961477063098
ENSMUSG00000066407.3|Gm10263	2.78111211047104	2.22833109652622	2.65239577143643	2.51888082459998
ENSMUSG00000066415.4|Msl2	6.65142248325306	6.70260129165642	6.67839610083298	6.61131166494092
ENSMUSG00000066440.5|Zfyve26	5.48625038205079	5.47618267466468	5.21295239654732	5.35179477861879
ENSMUSG00000066441.14|Rdh11	5.21274245836283	5.27030425958442	5.11381606138558	5.13370797611923
