symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SH2_0pt5mM_A	Gcn1_SH2_0pt5mM_B
ENSMUSG00000002015.5|Bcap31	2609	3052	3641	4074
ENSMUSG00000002017.10|Fam98a	1944	2193	2927	2914
ENSMUSG00000002020.15|Ltbp2	2425	2417	3435	3397
ENSMUSG00000002028.13|Kmt2a	2614	2890	2643	2693
ENSMUSG00000002031.12|Ift46	1331	1307	828	930
ENSMUSG00000002032.17|Tmem25	31	49	36	56
ENSMUSG00000002043.17|Trappc6a	529	554	391	473
ENSMUSG00000002052.6|Supt6	5348	5387	5152	5578
ENSMUSG00000002055.9|Spag5	1347	1471	1125	1344
ENSMUSG00000002057.4|Foxn1	69	69	28	42
ENSMUSG00000002058.13|Unc119	509	496	440	524
ENSMUSG00000002059.18|Rab34	1719	1994	1734	1805
ENSMUSG00000002064.10|Sdf2	866	881	1197	1299
ENSMUSG00000002068.16|Ccne1	396	381	407	313
ENSMUSG00000002076.12|Hsf2bp	28	18	33	39
ENSMUSG00000002083.13|Bbc3	179	294	172	179
ENSMUSG00000002102.15|Psmc3	2831	3030	2881	3233
ENSMUSG00000002103.15|Acp2	1000	1077	815	916
ENSMUSG00000002105.15|Slc39a13	436	479	300	373
ENSMUSG00000002107.18|Celf2	3348	4038	2160	2318
ENSMUSG00000002108.10|Nr1h3	184	188	196	235
ENSMUSG00000002109.14|Ddb2	319	326	277	332
ENSMUSG00000002129.11|Sf3a1	2121	2355	2523	2763
ENSMUSG00000002147.18|Stat6	2046	2216	2114	2496
ENSMUSG00000002205.16|Vrk3	501	493	485	593
ENSMUSG00000002210.11|Smg9	618	592	739	773
ENSMUSG00000002221.11|Paxip1	962	958	931	949
ENSMUSG00000002222.14|Rmnd5a	3423	3919	4378	4739
ENSMUSG00000002227.15|Mov10	939	929	1301	1502
ENSMUSG00000002228.7|Ppm1j	267	257	184	215
ENSMUSG00000002233.13|Rhoc	4700	4898	4513	4791
ENSMUSG00000002249.21|Tead3	276	308	341	353
ENSMUSG00000002250.16|Ppard	1022	1094	710	863
ENSMUSG00000002257.8|Def6	131	110	48	67
ENSMUSG00000002274.13|Metrn	592	691	388	476
ENSMUSG00000002279.19|Lmf1	494	538	545	713
ENSMUSG00000002280.11|Narfl	717	792	709	769
ENSMUSG00000002289.16|Angptl4	1492	1717	1759	1755
ENSMUSG00000002297.16|Dbf4	2217	2679	1613	1785
ENSMUSG00000002307.16|Daxx	1002	1083	866	936
ENSMUSG00000002308.16|Cd320	516	517	555	584
ENSMUSG00000002319.16|Ipo4	3275	3207	3165	3275
ENSMUSG00000002320.15|Tm9sf1	1303	1397	1235	1461
ENSMUSG00000002325.15|Irf9	394	425	384	434
ENSMUSG00000002326.6|Gmpr2	595	645	513	517
ENSMUSG00000002329.7|Mdp1	403	489	322	369
ENSMUSG00000002332.16|Dhrs1	1333	1407	797	946
ENSMUSG00000002342.17|Tmem161a	1363	1355	1329	1386
ENSMUSG00000002343.11|Armc6	356	343	491	450
ENSMUSG00000002345.18|Borcs8	337	336	403	438
ENSMUSG00000002346.16|Slc25a42	138	147	149	147
ENSMUSG00000002365.10|Snx9	2246	2492	1988	2065
ENSMUSG00000002372.9|Ranbp3	2227	2334	2643	2821
ENSMUSG00000002379.7|Ndufa11	1028	934	1083	1140
ENSMUSG00000002393.14|Nr2f6	637	781	503	537
ENSMUSG00000002395.14|Use1	996	913	821	946
ENSMUSG00000002396.8|Ocel1	46	41	48	31
ENSMUSG00000002409.18|Dyrk1b	135	158	145	163
ENSMUSG00000002413.15|Braf	934	1138	1226	1170
ENSMUSG00000002416.13|Ndufb2	534	744	580	677
ENSMUSG00000002428.12|Hltf	900	1127	696	819
ENSMUSG00000002455.14|Prpf6	3735	3673	3518	3747
ENSMUSG00000002458.13|Rgs19	1287	1483	1087	1181
ENSMUSG00000002459.17|Rgs20	76	81	20	31
ENSMUSG00000002477.5|Snrpd1	1607	1794	1893	2154
ENSMUSG00000002486.15|Tchp	318	351	329	349
ENSMUSG00000002489.16|Tiam1	212	265	149	184
ENSMUSG00000002496.10|Tsc2	3338	3430	2583	2793
ENSMUSG00000002504.15|Slc9a3r2	811	900	776	848
ENSMUSG00000002524.17|Puf60	3790	3871	5264	5632
ENSMUSG00000002546.16|Golga2	1724	1829	1647	1933
ENSMUSG00000002550.16|Uck1	1039	1159	1234	1217
ENSMUSG00000002565.16|Scin	26	29	4	11
ENSMUSG00000002580.7|Mien1	511	561	604	668
ENSMUSG00000002602.16|Axl	17515	18120	15227	15789
ENSMUSG00000002603.15|Tgfb1	1856	2321	1822	1879
ENSMUSG00000002608.8|Ccdc97	952	1097	1090	1148
ENSMUSG00000002617.14|Zfp40	187	240	101	134
ENSMUSG00000002625.10|Akap8l	1471	1718	1292	1474
ENSMUSG00000002635.11|Pdcd2l	290	345	235	218
ENSMUSG00000002658.9|Gtf2f1	2235	2280	2731	2949
ENSMUSG00000002660.8|Clpp	1074	1025	1069	1192
ENSMUSG00000002661.14|Alkbh7	108	175	100	94
ENSMUSG00000002679.14|Med6	561	626	659	756
ENSMUSG00000002718.14|Cse1l	5795	6614	6290	6509
ENSMUSG00000002728.14|Naa20	1101	1350	1396	1511
ENSMUSG00000002731.6|Prkra	303	345	308	368
ENSMUSG00000002732.14|Fkbp7	87	98	83	105
ENSMUSG00000002733.8|Plekha3	617	717	950	1046
ENSMUSG00000002741.9|Ykt6	2268	2463	2286	2283
ENSMUSG00000002748.7|Baz1b	5124	5602	5449	5557
ENSMUSG00000002763.16|Pex6	940	942	933	1089
ENSMUSG00000002767.13|Mrpl2	1402	1585	1482	1613
ENSMUSG00000002768.8|Mea1	2904	2660	2817	2981
ENSMUSG00000002771.12|Grin2d	31	29	27	23
ENSMUSG00000002778.14|Kdelr1	1839	1984	2029	2297
ENSMUSG00000002781.19|Tmem143	336	358	354	427
ENSMUSG00000002797.9|Ggct	231	223	252	237
ENSMUSG00000002799.6|Jag2	1318	1446	1145	1111
ENSMUSG00000002803.14|Btbd6	295	312	167	209
ENSMUSG00000002804.4|Nudt14	256	305	245	259
ENSMUSG00000002808.7|Epdr1	732	865	820	929
ENSMUSG00000002812.4|Flii	3277	3504	3262	3711
ENSMUSG00000002814.15|Top3a	534	665	578	593
ENSMUSG00000002820.6|Atg4d	312	330	342	373
ENSMUSG00000002825.8|Qtrt1	737	697	660	672
ENSMUSG00000002831.13|Plin4	90	118	16	27
ENSMUSG00000002833.11|Hdgfl2	2184	2294	2318	2604
ENSMUSG00000002835.9|Chaf1a	2581	2591	2439	2417
ENSMUSG00000002844.9|Adprh	1321	1294	1249	1344
ENSMUSG00000002845.14|Tmem39a	974	1106	1113	1129
ENSMUSG00000002846.9|Timmdc1	842	899	809	868
ENSMUSG00000002847.7|Pla1a	1209	1174	1648	1801
ENSMUSG00000002870.8|Mcm2	5009	5387	5353	5399
ENSMUSG00000002871.14|Tpra1	863	902	686	895
ENSMUSG00000002881.14|Nab1	4050	4647	3312	3755
ENSMUSG00000002885.14|Adgre5	4048	4233	5472	6093
ENSMUSG00000002897.5|Il17ra	787	789	822	815
ENSMUSG00000002900.16|Lamb1	8782	8957	3940	4062
ENSMUSG00000002910.11|Arrdc2	85	72	137	138
ENSMUSG00000002948.19|Map2k7	1201	1405	1367	1433
ENSMUSG00000002949.15|Timm44	1293	1406	1158	1228
ENSMUSG00000002957.11|Ap2a2	2594	2827	2690	2713
ENSMUSG00000002963.17|Pnkp	810	772	631	668
ENSMUSG00000002968.9|Med25	1220	1435	1302	1423
ENSMUSG00000002980.14|Bcam	2067	2259	2799	3333
ENSMUSG00000002981.10|Clptm1	2831	3336	3203	3392
ENSMUSG00000002983.17|Relb	1186	1303	1632	1713
ENSMUSG00000002984.17|Tomm40	1289	1326	1331	1469
ENSMUSG00000002985.16|Apoe	32	27	51	59
ENSMUSG00000002992.17|Apoc2	167	192	1103	1403
ENSMUSG00000002996.17|Hbp1	2033	2301	2413	2585
ENSMUSG00000002997.15|Prkar2b	1291	1455	1332	1617
ENSMUSG00000003031.14|Cdkn1b	1973	2361	1977	2335
ENSMUSG00000003032.8|Klf4	3107	3781	3938	4210
ENSMUSG00000003033.15|Ap1m1	918	903	1043	1228
ENSMUSG00000003037.16|Rab8a	2048	2361	2509	2637
ENSMUSG00000003038.15|Hmgn2	3972	4913	5581	5969
ENSMUSG00000003039.9|Fam32a	1887	2023	1842	2115
ENSMUSG00000003051.13|Elf3	1769	1718	3358	3749
ENSMUSG00000003062.13|Stard3nl	1267	1274	709	745
ENSMUSG00000003068.16|Stk11	1296	1446	1270	1349
ENSMUSG00000003072.15|Atp5d	2090	2541	2241	2481
ENSMUSG00000003099.11|Ppp5c	1408	1638	1746	1885
ENSMUSG00000003119.14|Cdk12	1554	1711	1585	1671
ENSMUSG00000003123.15|Lipe	113	139	154	193
ENSMUSG00000003131.7|Pafah1b2	4695	5295	3132	3469
ENSMUSG00000003135.15|Cnot11	1054	1054	1037	1087
ENSMUSG00000003154.15|Foxj2	717	823	840	761
ENSMUSG00000003161.15|Sri	2098	2369	1971	2313
ENSMUSG00000003166.20|Dgcr2	2075	2167	2312	2486
ENSMUSG00000003184.15|Irf3	704	784	777	884
ENSMUSG00000003190.12|Bcl2l12	96	100	72	84
ENSMUSG00000003198.10|Zfp959	321	370	290	341
ENSMUSG00000003199.16|Mpnd	1440	1348	1373	1527
ENSMUSG00000003200.10|Sh3gl1	1952	2196	2230	2292
ENSMUSG00000003208.9|Yju2	211	256	201	267
ENSMUSG00000003226.7|Ranbp2	5187	5866	5166	5310
ENSMUSG00000003228.9|Grk5	82	90	171	201
ENSMUSG00000003233.12|Dvl3	656	772	638	663
ENSMUSG00000003234.16|Abcf3	958	1015	1110	1162
ENSMUSG00000003235.13|Eif2b5	1731	1874	1388	1597
ENSMUSG00000003269.17|Cyth2	1601	1658	1441	1431
ENSMUSG00000003271.17|Sult2b1	308	357	188	196
ENSMUSG00000003279.17|Dlgap1	45	61	42	43
ENSMUSG00000003282.9|Plag1	88	108	41	39
ENSMUSG00000003299.10|Mrpl4	913	980	892	905
ENSMUSG00000003308.15|Keap1	739	815	655	784
ENSMUSG00000003316.14|Glg1	3762	3816	3773	4173
ENSMUSG00000003344.14|Btbd2	560	492	635	845
ENSMUSG00000003345.16|Csnk1g2	1603	1904	1426	1671
ENSMUSG00000003346.14|Abhd17a	284	354	253	270
ENSMUSG00000003348.10|Mob3a	631	680	715	763
ENSMUSG00000003352.14|Cacnb3	1373	1427	1132	1273
ENSMUSG00000003355.7|Fkbp11	976	911	823	844
ENSMUSG00000003360.15|Ddx23	2014	2202	2086	2364
ENSMUSG00000003363.15|Pld3	816	800	468	586
ENSMUSG00000003378.9|Grik5	697	730	730	802
ENSMUSG00000003380.11|Rabac1	578	628	591	673
ENSMUSG00000003382.18|Etv3	1843	1936	2349	2595
ENSMUSG00000003402.14|Prkcsh	4257	4327	4086	4360
ENSMUSG00000003411.10|Rab3b	87	92	59	49
ENSMUSG00000003420.8|Fcgrt	353	371	388	472
ENSMUSG00000003421.13|Nosip	537	585	567	721
ENSMUSG00000003423.15|Pih1d1	405	448	398	380
ENSMUSG00000003429.11|Rps11	13610	14717	14777	15375
ENSMUSG00000003435.9|Supt5	4916	4748	5094	5548
ENSMUSG00000003437.14|Paf1	673	759	776	798
ENSMUSG00000003438.17|Timm50	1190	1226	1266	1212
ENSMUSG00000003444.8|Med29	384	354	397	411
ENSMUSG00000003452.15|Bicd1	512	597	490	497
ENSMUSG00000003458.12|Ncstn	2864	3057	2565	2842
ENSMUSG00000003464.13|Pex19	1368	1326	1175	1404
ENSMUSG00000003500.13|Impdh1	1841	1790	1925	1905
ENSMUSG00000003518.13|Dusp3	1442	1716	1517	1563
ENSMUSG00000003526.12|Prodh	295	328	334	322
ENSMUSG00000003527.9|Ess2	459	501	304	298
ENSMUSG00000003528.15|Slc25a1	1592	1680	1716	2039
ENSMUSG00000003531.15|Dgcr6	532	498	483	443
ENSMUSG00000003534.17|Ddr1	3102	3208	4291	4720
ENSMUSG00000003541.6|Ier3	5314	5238	7907	7699
ENSMUSG00000003545.3|Fosb	86	103	236	224
ENSMUSG00000003546.10|Klc4	649	706	662	807
ENSMUSG00000003549.9|Ercc1	586	617	358	361
ENSMUSG00000003559.8|As3mt	188	229	62	79
ENSMUSG00000003573.15|Homer3	647	661	390	446
ENSMUSG00000003575.13|Crtc1	504	461	488	563
ENSMUSG00000003581.14|Rnf215	234	263	240	249
ENSMUSG00000003585.13|Sec14l2	68	68	83	77
ENSMUSG00000003604.14|Aven	333	363	277	301
ENSMUSG00000003617.16|Cp	9139	9867	19622	21961
ENSMUSG00000003623.4|Crot	1450	1758	1557	1921
