symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SCR_4mM_A	Gcn1_SCR_4mM_B
ENSMUSG00000046718.8|Bst2	643	732	617	758
ENSMUSG00000046721.11|Rpl14-ps1	291	329	324	304
ENSMUSG00000046722.14|Cdc42se1	1902	2054	1743	1968
ENSMUSG00000046727.13|Cystm1	4901	4985	6418	6665
ENSMUSG00000046731.4|Kctd11	531	539	266	311
ENSMUSG00000046733.7|Gprc5a	7204	7570	5324	6715
ENSMUSG00000046753.10|Ccdc66	758	829	824	922
ENSMUSG00000046756.10|Mrps7	1161	1289	1158	1355
ENSMUSG00000046761.12|Fam83h	1117	1275	1094	1147
ENSMUSG00000046782.14|Ttc6	29	36	25	21
ENSMUSG00000046785.8|Epm2aip1	881	1087	1020	1066
ENSMUSG00000046791.8|Riox1	387	434	409	442
ENSMUSG00000046792.8|Zfp787	231	263	258	257
ENSMUSG00000046794.9|Ppp1r3b	247	236	197	199
ENSMUSG00000046798.14|Cldn12	3898	4508	3871	4556
ENSMUSG00000046806.13|Cyren	313	400	348	401
ENSMUSG00000046814.3|Gchfr	364	320	412	494
ENSMUSG00000046818.7|Ddit4l	29	27	41	44
ENSMUSG00000046822.13|Slc39a3	344	334	280	325
ENSMUSG00000046836.13|Brox	3703	4076	3334	3565
ENSMUSG00000046841.5|Ckap4	1313	1411	1420	1592
ENSMUSG00000046861.9|Hectd3	352	351	362	421
ENSMUSG00000046862.14|Pramef8	400	450	503	552
ENSMUSG00000046865.7|Fbl	3517	3441	3621	4264
ENSMUSG00000046873.18|Mbtps2	1523	1760	1658	1954
ENSMUSG00000046876.16|Atxn1	392	376	460	491
ENSMUSG00000046879.7|Irgm1	718	845	833	878
ENSMUSG00000046897.17|Zfp740	4077	4413	4108	4871
ENSMUSG00000046909.9|Tefm	330	394	477	484
ENSMUSG00000046947.12|Adck2	203	226	236	229
ENSMUSG00000046949.16|Nqo2	1311	1465	1228	1247
ENSMUSG00000046962.16|Zbtb21	1003	1093	1257	1386
ENSMUSG00000046982.11|Tshz1	624	702	796	910
ENSMUSG00000046985.11|Tapt1	1129	1329	1427	1537
ENSMUSG00000046993.6|Gm5637	63	68	74	72
ENSMUSG00000046994.9|Mars2	647	759	814	887
ENSMUSG00000047003.15|Zfp41	220	267	219	218
ENSMUSG00000047022.18|Mipol1	570	787	666	620
ENSMUSG00000047030.15|Spata2	1686	1665	1412	1648
ENSMUSG00000047036.8|Zfp445	1225	1468	1439	1622
ENSMUSG00000047037.5|Nipa1	190	220	158	176
ENSMUSG00000047040.9|Prr15l	43	50	80	73
ENSMUSG00000047044.7|D030056L22Rik	758	1009	767	825
ENSMUSG00000047045.17|Tmem164	1359	1402	1436	1715
ENSMUSG00000047067.7|Dusp28	64	74	50	83
ENSMUSG00000047084.8|Ngrn	814	918	990	1039
ENSMUSG00000047090.13|Tmem198b	354	367	395	369
ENSMUSG00000047098.18|Rnf31	516	521	594	709
ENSMUSG00000047104.5|Pbp2	997	1213	655	809
ENSMUSG00000047115.15|Fam221a	35	35	25	18
ENSMUSG00000047117.12|Ankdd1b	69	81	87	85
ENSMUSG00000047123.8|Ticam1	416	390	470	509
ENSMUSG00000047126.17|Cltc	21532	23791	25004	26958
ENSMUSG00000047139.9|Cd24a	6790	8088	6939	7587
ENSMUSG00000047141.5|Zfp654	649	788	898	954
ENSMUSG00000047153.4|Khnyn	1544	1715	1488	1660
ENSMUSG00000047180.8|Neurl3	3763	3821	6650	6874
ENSMUSG00000047181.12|Samd14	494	541	366	436
ENSMUSG00000047187.9|Rab2a	3257	3971	3313	3584
ENSMUSG00000047193.16|Dync2h1	338	321	521	546
ENSMUSG00000047205.12|Dusp18	1168	1328	1025	1078
ENSMUSG00000047213.14|Ythdf3	4592	5503	5442	5855
ENSMUSG00000047215.14|Rpl9	17084	18018	19625	21450
ENSMUSG00000047221.5|Fam185a	613	663	603	690
ENSMUSG00000047227.5|Gm527	61	61	67	79
ENSMUSG00000047230.6|Cldn2	5802	6184	6220	6969
ENSMUSG00000047238.4|Mageh1	67	70	71	78
ENSMUSG00000047242.14|Taf9b	88	90	102	103
ENSMUSG00000047246.7|Hist1h2be	14	17	46	62
ENSMUSG00000047248.20|C2cd3	734	788	800	881
ENSMUSG00000047250.13|Ptgs1	3783	3887	2955	3657
ENSMUSG00000047260.4|Emc6	1037	1299	1162	1256
ENSMUSG00000047264.8|Zfp358	580	640	481	617
ENSMUSG00000047281.3|Sfn	85	83	91	93
ENSMUSG00000047284.14|Neurl4	1222	1369	1330	1468
ENSMUSG00000047344.9|Lancl3	66	81	70	65
ENSMUSG00000047347.7|Tdg-ps	36	50	74	63
ENSMUSG00000047368.4|Abhd17b	672	893	901	905
ENSMUSG00000047371.7|Zfp768	486	500	414	440
ENSMUSG00000047379.7|B4gat1	282	319	333	380
ENSMUSG00000047388.10|Atmin	794	854	791	911
ENSMUSG00000047407.17|Tgif1	4698	5277	5330	5934
ENSMUSG00000047409.13|Ctdspl	1163	1233	1019	1062
ENSMUSG00000047412.16|Zbtb44	1297	1556	1427	1530
ENSMUSG00000047415.12|Gpr68	46	38	81	87
ENSMUSG00000047417.17|Rexo1	919	1030	986	1121
ENSMUSG00000047423.10|AI837181	690	629	637	740
ENSMUSG00000047428.14|Dlk2	149	146	134	190
ENSMUSG00000047434.14|Xxylt1	373	370	340	448
ENSMUSG00000047443.14|Erfe	834	970	924	1098
ENSMUSG00000047446.18|Arl4a	748	917	1261	1292
ENSMUSG00000047454.12|Gphn	954	1110	1313	1474
ENSMUSG00000047459.14|Dynlrb1	995	1054	948	1136
ENSMUSG00000047466.10|8030462N17Rik	1120	1311	1068	1235
ENSMUSG00000047473.14|Zfp30	142	173	110	132
ENSMUSG00000047496.6|Rnf152	143	188	225	185
ENSMUSG00000047497.10|Adamts12	19	20	45	32
ENSMUSG00000047514.6|Tspyl1	568	680	629	672
ENSMUSG00000047517.11|Dmbt1	3914	4268	4337	4453
ENSMUSG00000047528.13|Als2cr12	39	53	31	58
ENSMUSG00000047534.17|Mis18bp1	508	596	645	675
ENSMUSG00000047539.9|Fbxo28	1040	1153	1062	1220
ENSMUSG00000047547.14|Cltb	1075	1286	934	958
ENSMUSG00000047554.14|Tmem41b	1106	1340	1014	1245
ENSMUSG00000047557.2|Lxn	527	525	556	610
ENSMUSG00000047562.3|Mmp10	42	47	28	38
ENSMUSG00000047583.9|Tyw3	120	128	112	131
ENSMUSG00000047603.9|Zfp235	167	218	151	187
ENSMUSG00000047604.3|Frat2	194	230	242	321
ENSMUSG00000047613.10|A430005L14Rik	254	287	409	458
ENSMUSG00000047617.11|Paxx	213	211	299	310
ENSMUSG00000047635.6|2810006K23Rik	217	232	177	180
ENSMUSG00000047638.15|Nr1h4	75	100	90	103
ENSMUSG00000047648.13|Fbxo30	685	811	711	726
ENSMUSG00000047649.9|Cd3eap	585	632	527	581
ENSMUSG00000047656.9|Trpt1	73	78	74	74
ENSMUSG00000047675.15|Rps8	22680	24768	23313	25330
ENSMUSG00000047676.6|Rpsa-ps10	381	355	497	497
ENSMUSG00000047694.12|Yipf6	729	836	965	1037
ENSMUSG00000047710.8|Champ1	1271	1387	1427	1547
ENSMUSG00000047714.14|Ppp1r2	2737	3484	2440	2668
ENSMUSG00000047719.2|Ubiad1	581	595	603	743
ENSMUSG00000047721.8|Bola2	428	423	398	403
ENSMUSG00000047728.13|BC025446	236	272	236	252
ENSMUSG00000047730.17|Fcgbp	112	85	164	180
ENSMUSG00000047731.17|Wbp1l	1893	2010	1636	2006
ENSMUSG00000047735.14|Samd9l	2720	3118	3766	3716
ENSMUSG00000047749.2|Zc3hav1l	351	375	210	242
ENSMUSG00000047757.16|Fancb	337	443	339	389
ENSMUSG00000047766.15|Lrrc49	189	261	285	278
ENSMUSG00000047767.17|Atg16l2	271	287	315	381
ENSMUSG00000047777.9|Phf13	995	1025	531	645
ENSMUSG00000047787.8|Flrt1	35	48	73	87
ENSMUSG00000047789.5|Slc38a9	284	281	282	266
ENSMUSG00000047793.13|Sned1	60	83	60	69
ENSMUSG00000047797.14|Gjb1	102	130	149	158
ENSMUSG00000047804.15|Akap10	1029	1307	1023	1122
ENSMUSG00000047810.9|Ccdc88b	34	37	69	53
ENSMUSG00000047821.16|Trim16	918	1066	1032	1064
ENSMUSG00000047822.8|Angptl8	623	573	1377	1744
ENSMUSG00000047824.13|Pygo2	1772	1887	1675	1981
ENSMUSG00000047832.9|Cdca4	1580	1774	1603	1941
ENSMUSG00000047843.16|Bri3	1079	1179	1033	1208
ENSMUSG00000047866.18|Lonp2	968	1031	1051	1177
ENSMUSG00000047879.17|Usp14	3636	4148	3860	4169
ENSMUSG00000047881.14|Rell1	624	681	618	710
ENSMUSG00000047888.10|Tnrc6b	1865	1938	1715	1881
ENSMUSG00000047904.6|Sstr2	41	56	37	61
ENSMUSG00000047905.10|Gm8566	129	171	149	125
ENSMUSG00000047907.11|Tshz2	1284	1319	2260	2262
ENSMUSG00000047909.11|Ankrd16	916	1204	1231	1324
ENSMUSG00000047910.6|Pcdhb16	23	28	29	38
ENSMUSG00000047921.16|Trappc9	817	802	836	891
ENSMUSG00000047945.6|Marcksl1	1347	1405	984	1053
ENSMUSG00000047963.7|Stbd1	553	654	961	1160
ENSMUSG00000047965.9|Rpl9-ps7	246	311	334	323
ENSMUSG00000047986.12|Palm3	284	278	208	222
ENSMUSG00000047989.11|Ino80c	709	802	934	1008
ENSMUSG00000047996.16|Prrg1	236	306	214	232
ENSMUSG00000048000.15|Gigyf2	2383	2534	2481	2982
ENSMUSG00000048007.4|Timm8a1	1922	2044	1933	2218
ENSMUSG00000048012.19|Zfp473	49	43	48	26
ENSMUSG00000048027.9|Rgmb	485	555	353	425
ENSMUSG00000048039.8|Isg20l2	2531	2955	2789	3093
ENSMUSG00000048047.3|Zbtb33	996	1186	1058	1054
ENSMUSG00000048058.17|Ldlrad3	673	759	709	876
ENSMUSG00000048065.8|Cyb5r2	39	43	25	42
ENSMUSG00000048070.4|Pirt	46	30	45	45
ENSMUSG00000048076.14|Arf1	6679	7169	7135	8267
ENSMUSG00000048087.6|Gm4737	173	154	182	238
ENSMUSG00000048100.13|Taf13	495	597	555	626
ENSMUSG00000048106.5|4632415L05Rik	346	378	368	388
ENSMUSG00000048109.10|Rbm15	910	1025	1033	1184
ENSMUSG00000048118.17|Arid4a	882	1081	863	955
ENSMUSG00000048126.16|Col6a3	30	37	21	21
ENSMUSG00000048154.17|Kmt2d	1674	1880	1679	1877
ENSMUSG00000048164.9|Gm7204	124	176	134	124
ENSMUSG00000048170.14|Mcmbp	2152	2326	2190	2497
ENSMUSG00000048174.2|Tmem81	164	165	207	210
ENSMUSG00000048175.13|Asb8	660	721	714	741
ENSMUSG00000048200.12|Cracr2b	48	49	64	52
ENSMUSG00000048216.13|Gpr85	199	225	241	261
ENSMUSG00000048218.6|Amigo2	81	100	173	194
ENSMUSG00000048222.3|Mfap1b	1643	1806	1613	1757
ENSMUSG00000048232.12|Fbxo10	188	180	164	188
ENSMUSG00000048234.13|Rnf149	1046	1200	1282	1442
ENSMUSG00000048240.14|Gng7	105	104	71	88
ENSMUSG00000048249.14|Crebrf	2031	2293	1843	2071
ENSMUSG00000048261.6|Gm4879	16	35	33	28
ENSMUSG00000048264.16|Dip2c	780	832	1004	1144
ENSMUSG00000048271.14|Rbm33	2366	2650	2915	3345
ENSMUSG00000048277.15|Syngr2	2409	2434	2677	3165
ENSMUSG00000048279.19|Sacs	711	786	928	1049
ENSMUSG00000048280.18|Zfp738	328	422	324	372
ENSMUSG00000048285.9|Frmd6	2515	2957	1833	2059
ENSMUSG00000048307.8|Ankrd46	1319	1402	1235	1357
ENSMUSG00000048310.8|Pskh1	720	730	728	793
ENSMUSG00000048327.6|Ckap2l	1602	1832	1813	1961
ENSMUSG00000048332.13|Lhfp	123	167	207	204
ENSMUSG00000048337.3|Npy4r	20	22	69	69
ENSMUSG00000048351.14|Coa7	390	338	404	450
ENSMUSG00000048371.8|Pdp2	333	347	298	360
ENSMUSG00000048373.8|Fgfbp1	114	121	46	67
ENSMUSG00000048376.6|F2r	5674	6298	2916	3395
ENSMUSG00000048379.9|Socs4	1892	2401	2003	2188
ENSMUSG00000048387.8|Osr1	15	18	25	30
ENSMUSG00000048388.3|Fam171b	158	182	178	209
ENSMUSG00000048399.4|Tprg	9	11	31	30
ENSMUSG00000048410.17|Zfp407	670	745	796	863
ENSMUSG00000048429.10|Timm29	1383	1464	1158	1440
ENSMUSG00000048439.15|Nupl2	345	399	447	418
ENSMUSG00000048440.16|Cyp4f16	580	713	531	638
ENSMUSG00000048445.6|Ccdc57	92	85	91	84
ENSMUSG00000048481.15|Mypop	99	106	84	81
ENSMUSG00000048482.14|Bdnf	287	425	379	503
ENSMUSG00000048486.6|Fitm2	768	845	728	877
ENSMUSG00000048489.12|Depp1	24	26	55	50
ENSMUSG00000048490.14|Nrip1	4713	5161	6971	7424
ENSMUSG00000048495.16|Tyw5	339	422	471	451
ENSMUSG00000048497.11|Mmgt2	447	487	417	485
ENSMUSG00000048503.7|Tmem136	136	165	155	181
ENSMUSG00000048537.16|Phldb1	1131	1229	998	1190
ENSMUSG00000048538.7|Gm9826	59	62	68	74
ENSMUSG00000048546.8|Tob2	1233	1404	897	1086
ENSMUSG00000048550.17|Thnsl1	292	377	347	355
ENSMUSG00000048572.5|Tmem252	28	36	102	104
ENSMUSG00000048574.9|Ccnb1-ps	25	28	23	27
ENSMUSG00000048578.11|Mlec	7671	8508	7705	9101
ENSMUSG00000048581.12|E130311K13Rik	89	112	166	150
ENSMUSG00000048612.16|Myof	14520	15964	16695	18863
ENSMUSG00000048644.8|Ctxn1	362	389	313	312
ENSMUSG00000048647.9|Exd1	67	78	77	94
ENSMUSG00000048661.14|Lemd3	455	567	576	598
ENSMUSG00000048668.16|Rhno1	1144	1184	1028	1174
ENSMUSG00000048677.9|Tpcn2	250	253	250	337
ENSMUSG00000048696.11|Mex3d	638	880	413	440
ENSMUSG00000048701.13|Ccdc6	1664	1869	1934	2048
ENSMUSG00000048706.3|Lurap1l	1677	1936	1294	1570
ENSMUSG00000048707.9|Tprn	414	499	358	403
ENSMUSG00000048709.6|Gm8666	32	26	28	40
ENSMUSG00000048720.8|Tbc1d12	591	701	711	790
ENSMUSG00000048731.15|Ggnbp1	194	249	230	287
ENSMUSG00000048732.5|Klhl11	312	383	324	342
ENSMUSG00000048755.9|Mcat	443	458	522	625
ENSMUSG00000048756.11|Foxo3	1010	1089	1146	1282
ENSMUSG00000048758.14|Rpl29	9178	8812	10239	11303
ENSMUSG00000048763.11|Hoxb3	34	36	37	58
ENSMUSG00000048772.15|Tmem53	25	28	14	23
ENSMUSG00000048787.13|Dcun1d3	404	514	418	469
ENSMUSG00000048796.7|Cyb561d1	104	124	139	164
ENSMUSG00000048799.8|Cep120	1039	1217	921	1081
ENSMUSG00000048807.2|Slc35e4	1570	1701	1224	1525
ENSMUSG00000048832.9|Vps37c	825	785	1210	1338
ENSMUSG00000048833.9|Slc39a9	2119	2232	2118	2452
ENSMUSG00000048852.13|Gm12185	36	47	33	41
ENSMUSG00000048856.9|Slc25a47	62	53	34	63
ENSMUSG00000048874.15|Phf3	5376	6293	5012	5594
ENSMUSG00000048878.6|Hexim1	391	483	369	457
ENSMUSG00000048897.15|Zfp710	642	667	729	821
ENSMUSG00000048911.15|Rnf24	1097	1226	1315	1469
ENSMUSG00000048915.12|Efna5	1011	1236	990	1136
ENSMUSG00000048920.8|Fkrp	347	367	387	470
ENSMUSG00000048921.11|Zfp689	119	115	114	130
ENSMUSG00000048922.18|Cdca2	499	615	594	658
ENSMUSG00000048924.14|Ccdc125	229	283	235	211
ENSMUSG00000048930.12|Tada3	891	917	764	850
ENSMUSG00000048949.8|Gm6206	41	68	55	51
ENSMUSG00000048965.9|Mrgpre	57	64	66	74
ENSMUSG00000048970.9|C1galt1c1	426	527	433	531
ENSMUSG00000048992.9|Prss32	15	15	42	32
ENSMUSG00000048997.17|Atxn7l2	330	349	310	338
ENSMUSG00000049036.7|Tmem121	34	48	34	41
ENSMUSG00000049038.3|Mterf2	126	169	132	133
ENSMUSG00000049076.11|Acap2	2444	2829	2630	2687
ENSMUSG00000049086.8|Bmyc	63	102	84	89
ENSMUSG00000049090.3|Zadh2	1273	1414	1512	1635
ENSMUSG00000049091.6|Sephs2	1522	1647	1888	2126
ENSMUSG00000049106.7|Dcaf5	2619	2686	2595	2979
ENSMUSG00000049124.4|Gm8186	146	171	133	128
ENSMUSG00000049128.7|Ivl	219	258	188	196
ENSMUSG00000049164.7|Zfp518a	152	190	253	256
ENSMUSG00000049184.6|Purg	62	58	29	30
ENSMUSG00000049225.14|Pdp1	580	685	582	685
ENSMUSG00000049230.8|Gm9833	263	324	274	333
ENSMUSG00000049232.3|Tigd2	209	245	232	244
ENSMUSG00000049235.8|Gm7324	31	61	72	48
ENSMUSG00000049285.4|Mblac1	46	43	81	94
ENSMUSG00000049287.5|Iba57	168	180	193	250
ENSMUSG00000049288.4|Lix1l	1644	1589	1512	1570
ENSMUSG00000049295.17|Zfp219	936	1073	794	919
ENSMUSG00000049299.14|Trappc1	585	674	517	619
ENSMUSG00000049300.11|Prmt6	477	552	592	707
ENSMUSG00000049303.10|Syt12	335	382	439	529
ENSMUSG00000049305.6|Ccdc71	1083	1096	1159	1311
ENSMUSG00000049307.6|Fut4	98	126	133	157
ENSMUSG00000049321.17|Zfp2	26	31	18	35
ENSMUSG00000049323.8|Smcr8	3188	3491	2530	3206
ENSMUSG00000049327.17|Kmt5a	5995	6329	6304	6960
ENSMUSG00000049339.16|Retreg2	1729	1810	1631	2048
ENSMUSG00000049354.8|Dcaf7	3418	3600	3260	3727
ENSMUSG00000049382.10|Krt8	28720	31683	24475	27355
ENSMUSG00000049396.6|Gemin4	1334	1440	1430	1580
ENSMUSG00000049401.10|Ogfr	1606	1692	1757	1874
ENSMUSG00000049409.9|Prokr1	72	65	71	70
ENSMUSG00000049411.15|Tmem241	140	152	176	180
ENSMUSG00000049420.9|Tmem200a	23	32	40	47
ENSMUSG00000049421.13|Zfp260	1370	1656	1456	1580
ENSMUSG00000049422.7|Chchd10	311	345	236	264
ENSMUSG00000049439.13|Cyp20a1	1185	1430	1279	1507
ENSMUSG00000049470.13|Aff4	12890	14409	11575	12767
ENSMUSG00000049482.16|Ctu2	772	838	880	973
ENSMUSG00000049488.14|Tmem67	128	177	181	188
ENSMUSG00000049489.5|Ccnq	388	433	414	477
ENSMUSG00000049493.13|Pls1	1621	1850	2298	2373
ENSMUSG00000049502.17|Dtx3l	441	471	535	594
ENSMUSG00000049504.12|Proser1	785	862	737	921
ENSMUSG00000049515.12|Espnl	62	71	44	63
ENSMUSG00000049516.9|Spty2d1	1522	1565	1650	1813
ENSMUSG00000049517.8|Rps23	17013	16967	16041	18647
ENSMUSG00000049521.2|Cdc42ep1	2436	2670	2645	2999
ENSMUSG00000049532.11|Sall2	445	456	307	406
ENSMUSG00000049550.17|Clip1	3159	3384	3373	3724
ENSMUSG00000049553.11|Polr1a	4775	4860	5003	6008
ENSMUSG00000049555.10|Tmie	198	205	113	114
ENSMUSG00000049562.6|Ap5b1	102	118	177	164
ENSMUSG00000049577.15|Zfpm1	1597	1766	1150	1389
ENSMUSG00000049580.12|Tsku	564	567	552	603
ENSMUSG00000049600.8|Zbtb45	120	126	108	115
ENSMUSG00000049606.16|Zfp644	1412	1726	1501	1664
ENSMUSG00000049608.8|Gpr55	54	51	93	101
ENSMUSG00000049624.14|Slc17a5	376	408	288	388
ENSMUSG00000049643.15|2310022A10Rik	337	356	302	351
ENSMUSG00000049657.9|Zbtb5	216	241	246	269
ENSMUSG00000049658.13|Bdp1	1359	1594	1512	1636
ENSMUSG00000049659.15|Aftph	3153	3586	3321	3746
ENSMUSG00000049672.15|Zbtb14	503	557	580	643
ENSMUSG00000049680.17|Urgcp	764	841	774	831
ENSMUSG00000049686.14|Orai1	395	386	408	455
ENSMUSG00000049687.5|Pheta2	24	30	20	30
ENSMUSG00000049709.4|Nlrp10	23	19	32	32
ENSMUSG00000049717.9|Lig4	743	816	729	832
ENSMUSG00000049721.14|Gal3st1	40	66	43	47
ENSMUSG00000049728.14|Zfp668	179	218	167	196
ENSMUSG00000049734.9|Trex1	67	43	114	118
ENSMUSG00000049739.10|Zfp646	1004	1037	894	1054
ENSMUSG00000049751.6|Rpl36al	3440	3496	4024	4290
ENSMUSG00000049755.14|Zfp672	231	283	297	330
ENSMUSG00000049760.6|2410015M20Rik	1335	1229	1175	1404
ENSMUSG00000049764.8|Zfp280b	823	850	504	573
ENSMUSG00000049775.16|Tmsb4x	10999	13074	10325	10743
ENSMUSG00000049791.4|Fzd4	310	347	441	462
ENSMUSG00000049792.6|Bag5	713	818	853	946
ENSMUSG00000049800.13|Sertad2	1758	2181	1720	2042
ENSMUSG00000049807.16|Arhgap23	817	905	636	734
ENSMUSG00000049823.9|Zbtb12	671	571	632	681
ENSMUSG00000049858.8|Suox	1377	1503	1200	1312
ENSMUSG00000049866.12|Arl4c	2280	2622	1994	2354
ENSMUSG00000049871.14|Nlrc3	31	36	45	56
ENSMUSG00000049878.13|Rlf	1049	1172	1221	1327
ENSMUSG00000049881.13|2810025M15Rik	250	304	331	395
ENSMUSG00000049882.9|Vcpkmt	299	370	347	321
ENSMUSG00000049904.7|Tmem17	35	46	69	62
ENSMUSG00000049907.8|Rasl11b	215	260	153	180
ENSMUSG00000049916.12|2610318N02Rik	74	52	105	80
ENSMUSG00000049922.8|Slc35c1	624	683	785	954
ENSMUSG00000049932.3|H2afx	364	522	602	655
ENSMUSG00000049940.7|Pgrmc2	1509	1618	1674	2021
ENSMUSG00000049950.6|Rpp38	763	871	1117	1183
ENSMUSG00000049957.14|Ccdc137	1259	1416	1329	1548
ENSMUSG00000049960.4|Mrps16	657	679	833	926
ENSMUSG00000049969.3|Plekhf2	568	680	660	737
ENSMUSG00000050002.14|Idnk	175	160	172	192
ENSMUSG00000050017.11|Pitpnb	3169	3545	3273	3659
ENSMUSG00000050022.16|Amz1	39	56	57	78
ENSMUSG00000050029.7|Rap2c	1536	1863	1917	1979
ENSMUSG00000050035.7|Fhl4	31	49	36	34
ENSMUSG00000050043.16|Tmx2	2420	2633	2121	2553
ENSMUSG00000050064.14|Zfp697	1038	1262	628	711
ENSMUSG00000050079.10|Rspry1	817	1002	853	881
ENSMUSG00000050088.9|1600012H06Rik	697	847	755	820
ENSMUSG00000050106.17|Tmc8	62	76	61	85
ENSMUSG00000050107.2|Haspin	539	658	580	593
ENSMUSG00000050144.13|Slc25a44	1119	1169	895	1084
ENSMUSG00000050148.9|Ubqln2	1151	1368	1543	1682
ENSMUSG00000050174.15|Nudt6	96	99	123	141
ENSMUSG00000050188.8|Lsm10	248	275	249	312
ENSMUSG00000050192.8|Eif5a2	32	37	50	48
ENSMUSG00000050199.13|Lgr4	1001	1232	1135	1258
ENSMUSG00000050201.9|Otop2	65	70	140	129
ENSMUSG00000050212.4|Eva1b	144	247	146	152
ENSMUSG00000050213.6|Snip1	506	515	474	561
ENSMUSG00000050229.3|Pigm	1289	1677	1461	1602
ENSMUSG00000050240.16|Hic2	195	169	178	189
ENSMUSG00000050244.9|Heatr1	4061	4332	4665	5291
ENSMUSG00000050248.11|Evc2	20	26	26	34
ENSMUSG00000050270.12|Tmem220	77	91	151	143
ENSMUSG00000050271.12|Prag1	1460	1353	1587	1748
ENSMUSG00000050288.6|Fzd2	103	105	89	71
ENSMUSG00000050295.4|Foxc1	182	221	224	228
ENSMUSG00000050296.14|Abca12	28	39	35	29
ENSMUSG00000050299.8|Gm9843	192	171	217	255
ENSMUSG00000050310.9|Rictor	2044	2422	2218	2470
ENSMUSG00000050312.12|Nsun3	586	621	736	787
ENSMUSG00000050323.14|Ndufaf6	99	108	88	123
ENSMUSG00000050332.7|Amer1	446	477	438	470
ENSMUSG00000050335.17|Lgals3	13341	14854	12468	14952
ENSMUSG00000050359.7|Sprr1a	638	760	1067	1285
ENSMUSG00000050373.13|Snx21	139	157	121	155
ENSMUSG00000050379.15|Sept6	557	595	473	584
ENSMUSG00000050382.14|Kif7	135	162	123	115
ENSMUSG00000050390.12|C77080	3651	3734	3318	3722
ENSMUSG00000050395.8|Tnfsf15	449	415	906	885
ENSMUSG00000050410.15|Tcf19	965	961	455	506
ENSMUSG00000050428.7|Fbxo46	181	180	142	179
ENSMUSG00000050463.9|Krt78	26	27	33	35
ENSMUSG00000050471.17|Fam118b	551	701	604	688
ENSMUSG00000050490.7|Gm8394	50	66	59	66
ENSMUSG00000050530.14|Fam171a1	1097	1261	1179	1420
ENSMUSG00000050538.8|B230217C12Rik	17	17	30	36
ENSMUSG00000050549.8|Fam241a	235	307	237	280
ENSMUSG00000050550.7|Gm11868	24	29	34	31
ENSMUSG00000050552.8|Lamtor4	397	402	418	490
ENSMUSG00000050555.9|Hyls1	154	186	235	253
ENSMUSG00000050565.16|Tor1aip2	6244	6985	5645	6243
ENSMUSG00000050567.16|Maml1	2107	2251	1945	2301
ENSMUSG00000050578.10|Mmp13	824	841	576	612
ENSMUSG00000050605.17|Zfp61	108	107	145	161
ENSMUSG00000050608.11|Minos1	1053	1083	1040	1106
ENSMUSG00000050619.14|Zscan29	350	401	392	411
ENSMUSG00000050621.7|Rps27rt	485	467	470	441
ENSMUSG00000050627.13|Gpd1l	691	749	855	952
ENSMUSG00000050628.6|Ubald2	1787	2090	1959	2237
ENSMUSG00000050668.10|Gpatch11	411	497	363	364
ENSMUSG00000050697.9|Prkaa1	2458	2758	2666	2946
ENSMUSG00000050705.15|2310061I04Rik	695	786	619	698
ENSMUSG00000050708.16|Ftl1	45391	47367	43061	48839
ENSMUSG00000050714.9|Zbtb26	709	806	509	549
ENSMUSG00000050721.9|Plekho2	1897	2027	1496	1770
ENSMUSG00000050730.17|Arhgap42	881	957	816	837
ENSMUSG00000050732.9|Vamp8	2873	2702	2675	3078
ENSMUSG00000050737.13|Ptges	881	893	1336	1488
ENSMUSG00000050747.14|Trim15	128	160	153	196
ENSMUSG00000050777.7|Tmem37	31	35	19	28
ENSMUSG00000050786.8|Ccdc126	137	178	136	158
ENSMUSG00000050796.4|B3galt6	111	161	223	232
ENSMUSG00000050812.18|Ecpas	2583	2998	3329	3690
ENSMUSG00000050821.14|Fam131a	64	69	40	41
ENSMUSG00000050846.9|Zfp623	1212	1398	1084	1310
ENSMUSG00000050854.9|Tmem125	74	74	99	111
ENSMUSG00000050855.16|Zfp940	95	120	100	120
ENSMUSG00000050856.16|Atp5k	1143	1070	1041	1152
ENSMUSG00000050860.6|Phospho1	87	116	98	104
ENSMUSG00000050866.7|Clrn3	21	23	38	32
ENSMUSG00000050890.15|Pdik1l	545	654	561	499
ENSMUSG00000050891.9|Tatdn1	767	885	825	961
ENSMUSG00000050900.5|Gm7327	47	66	89	83
ENSMUSG00000050910.5|Cdr2l	1991	2205	2358	2532
ENSMUSG00000050912.15|Tmem123	787	999	1008	1032
ENSMUSG00000050914.16|Ankrd37	46	62	73	69
ENSMUSG00000050931.7|Sgms2	6763	7556	5244	5820
ENSMUSG00000050944.14|Efcab5	90	107	106	94
ENSMUSG00000050945.8|Zfp438	118	135	152	171
ENSMUSG00000050947.9|Amigo1	485	487	435	428
ENSMUSG00000050953.10|Gja1	1308	1423	2043	2368
ENSMUSG00000050954.15|Zfp169	182	216	167	165
ENSMUSG00000050957.4|Insl6	47	44	47	42
ENSMUSG00000050965.14|Prkca	1732	1943	3056	3235
ENSMUSG00000050973.11|Gdpgp1	123	118	91	125
ENSMUSG00000050989.9|Selenon	757	825	721	860
ENSMUSG00000051000.17|Fam160a1	179	200	227	259
