ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSMUSG00000026659.13|Dusp12	Dusp12	-1.25834586079269	-0.331528506535252	0.0069339482356813	0.00997678293391689	-2.15901940482584
ENSMUSG00000026662.13|Sephs1	Sephs1	-1.22765277108832	-0.295902567006234	9.16703728497204e-05	0.000168257620985973	-4.037771002246
ENSMUSG00000026663.6|Atf6	Atf6	-2.68867842249431	-1.42689721299579	2.13666601852648e-19	7.10988646116019e-18	-18.6702633569405
ENSMUSG00000026664.7|Phyh	Phyh	1.3184352910276	0.398826765283256	1.09255004359586e-05	2.25059040386204e-05	4.96155866130511
ENSMUSG00000026667.14|Uhmk1	Uhmk1	-1.06034307554998	-0.0845311264059507	0.237591987881249	0.273495400832254	-0.62416820879872
ENSMUSG00000026669.14|Mcm10	Mcm10	-1.15383599440555	-0.206438174700203	0.00397189673764366	0.00589839851874088	-2.40100205092552
ENSMUSG00000026670.15|Uap1	Uap1	1.06695910630922	0.093504882577073	0.159505132093764	0.188638047603608	0.797225338913099
ENSMUSG00000026672.11|Optn	Optn	-1.21931139227003	-0.286066613828547	0.000107929491996462	0.000195985884638945	-3.96685986707588
ENSMUSG00000026674.9|Ddr2	Ddr2	-48.2023258719248	-5.59103085634124	1.09194096037445e-25	3.54698821961634e-23	-24.9618008426539
ENSMUSG00000026675.12|Hsd17b7	Hsd17b7	-2.63682535591686	-1.39880202076773	4.00838952665937e-14	3.43723810887579e-13	-13.3970300812878
ENSMUSG00000026676.7|Ccdc3	Ccdc3	-4.72951133125969	-2.24169112724575	8.43057615098456e-10	3.19406693773625e-09	-9.07414274439743
ENSMUSG00000026678.10|Rgs5	Rgs5	10.5404236944251	3.3978609551794	1.34358530838922e-13	1.02233878206102e-12	12.8717347536547
ENSMUSG00000026679.3|Enkur	Enkur	1.17530662952786	0.233037195248288	0.420651976368817	0.462408743340566	0.37607706627754
ENSMUSG00000026683.14|Nuf2	Nuf2	1.01524501643972	0.0218279454840014	0.771762614592029	0.798147161224913	0.112516263170213
ENSMUSG00000026687.14|Aldh9a1	Aldh9a1	1.68094935086035	0.74927625499439	2.36347315661712e-11	1.16365443073718e-10	10.6264493258761
ENSMUSG00000026688.5|Mgst3	Mgst3	1.61398644761726	0.690628464590011	3.73250879499894e-10	1.51420212578562e-09	9.42799916026335
ENSMUSG00000026692.12|Fmo4	Fmo4	1.87787519025212	0.909101179931007	0.001259750708658	0.00199637343689408	2.89971538866485
ENSMUSG00000026694.19|Mettl13	Mettl13	-1.395027585677	-0.480293650603507	1.90687975292862e-06	4.37604044898321e-06	-5.71967669252615
ENSMUSG00000026696.15|Vamp4	Vamp4	-1.05807900714881	-0.0814473580437101	0.336441035470548	0.375988290213359	-0.473091039058606
ENSMUSG00000026698.8|Pigc	Pigc	1.23639834806682	0.306143631746987	0.00210170348273768	0.00322791181076102	2.67742855609774
ENSMUSG00000026701.15|Prdx6	Prdx6	1.48490191886655	0.570367640899464	8.61839027165897e-10	3.25979202872868e-09	9.06457384338872
ENSMUSG00000026705.16|Klhl20	Klhl20	-1.30669773271182	-0.385925453336044	5.65100058053611e-05	0.000106354808829155	-4.24787464808635
ENSMUSG00000026707.15|Nsun6	Nsun6	-1.14691061399068	-0.197752957371659	0.164179841470867	0.193746698139178	-0.78468016801689
ENSMUSG00000026708.16|Cenpl	Cenpl	-1.21642719718804	-0.282649977983877	0.0107053496491603	0.0149936439034487	-1.97039914357542
ENSMUSG00000026709.10|Dars2	Dars2	1.36967829202371	0.453837074934408	1.24143297342052e-05	2.53926087801741e-05	4.90607672359989
ENSMUSG00000026712.3|Mrc1	Mrc1	-3.45977216660105	-1.79067703643507	3.84694183821132e-21	2.18682614577988e-19	-20.4148843797277
ENSMUSG00000026718.17|Stam	Stam	-1.74086894898053	-0.79980760231578	7.12275676994697e-13	4.67415924061503e-12	-12.1473518858216
ENSMUSG00000026721.16|Rabgap1l	Rabgap1l	1.07437134155609	0.103492727053772	0.230577588854822	0.266117083558611	0.637182906536867
ENSMUSG00000026723.10|Trdmt1	Trdmt1	-2.39017367532836	-1.257115451441	3.64640380649117e-09	1.24307564047874e-08	-8.43813523880223
ENSMUSG00000026726.10|Cubn	Cubn	-2.00216374414966	-1.00155996778651	2.22282534948347e-06	5.05686280523645e-06	-5.65309465908928
ENSMUSG00000026727.10|Rsu1	Rsu1	1.64275835503471	0.716120279659678	1.38482053934168e-10	6.00162217860182e-10	9.85860650372842
ENSMUSG00000026728.9|Vim	Vim	1.29985744822946	0.37835341555448	3.04749927336189e-06	6.81255654374509e-06	5.51605638926166
ENSMUSG00000026730.12|Pter	Pter	-1.00723715638475	-0.0104034093205527	0.909411059594508	0.920283401053958	-0.0412397685258295
ENSMUSG00000026737.12|Pip4k2a	Pip4k2a	-2.31265594001788	-1.20955064835562	2.87643432671242e-12	1.69006001375269e-11	-11.5411455371163
ENSMUSG00000026739.13|Bmi1	Bmi1	-1.57877356005798	-0.658804263529975	6.70805242301373e-10	2.59625416190571e-09	-9.17340355206824
ENSMUSG00000026740.12|Dnajc1	Dnajc1	1.15569121892633	0.208755985701624	0.0280513865064435	0.037213639255874	1.55204566784041
ENSMUSG00000026743.16|Mllt10	Mllt10	-1.50253600412803	-0.587399561555178	3.41395345563551e-09	1.17026550239285e-08	-8.46674240416401
ENSMUSG00000026749.11|Nek6	Nek6	-1.29177532946177	-0.369355172774283	2.62862615959746e-06	5.92178776343926e-06	-5.58027117439896
ENSMUSG00000026750.6|Psmb7	Psmb7	-1.06909259183265	-0.0963868072146337	0.134028907481175	0.160667461977477	-0.872801522488964
ENSMUSG00000026753.5|Ppp6c	Ppp6c	-1.50341383388279	-0.588242184179097	5.09013731225125e-09	1.68678026113781e-08	-8.29327050191694
ENSMUSG00000026754.16|Golga1	Golga1	1.01646657989554	0.0235627820182653	0.753365131403749	0.781354347643748	0.122994484463759
ENSMUSG00000026755.14|Arpc5l	Arpc5l	-2.35006776234959	-1.23270235636316	1.69975255590093e-16	2.54832133188532e-15	-15.7696142971091
ENSMUSG00000026761.12|Orc4	Orc4	-2.13303533090978	-1.09290786221209	2.49025049115048e-15	2.88694115495811e-14	-14.6037569655738
ENSMUSG00000026764.15|Kif5c	Kif5c	-2.75611711116743	-1.4626371914206	9.72236206428844e-08	2.65709506496569e-07	-7.01222820967635
ENSMUSG00000026766.16|Mmadhc	Mmadhc	-1.49491597421775	-0.580064396138332	1.93652076910162e-09	6.90898348662484e-09	-8.71297784086336
ENSMUSG00000026767.12|Mindy3	Mindy3	-2.80007557969735	-1.48546576894987	1.20014615667521e-17	2.41855155325257e-16	-16.9207658613088
ENSMUSG00000026768.10|Itga8	Itga8	1.01551070469628	0.0222054474438607	0.833888971468633	0.853597481823721	0.0788917698519973
ENSMUSG00000026771.14|Spopl	Spopl	-1.36740537755738	-0.451441004095124	2.03639871471344e-05	4.06000112009871e-05	-4.69113718574246
ENSMUSG00000026773.19|Pfkfb3	Pfkfb3	-1.88955930752058	-0.918049801118671	4.82191737895996e-12	2.71728289141474e-11	-11.3167802353043
ENSMUSG00000026775.9|Yme1l1	Yme1l1	1.21806124889938	0.28458667943614	0.000131817263730243	0.000236349445271613	3.88002770771019
ENSMUSG00000026779.6|Mastl	Mastl	1.04206618423769	0.0594469097078116	0.460299039039517	0.501987193414559	0.336959931776177
ENSMUSG00000026781.17|Acbd5	Acbd5	1.46101245011691	0.546968472217659	5.95738365188693e-09	1.9537640664109e-08	8.22494443069983
ENSMUSG00000026782.15|Abi2	Abi2	-1.31045258389818	-0.390065153580465	1.68245367715476e-05	3.38450538446216e-05	-4.77405688433015
ENSMUSG00000026784.14|Pdss1	Pdss1	-2.04505929345274	-1.03214267257051	1.56025686712907e-08	4.79751734014918e-08	-7.80680389729078
ENSMUSG00000026785.14|Pkn3	Pkn3	1.21003879582916	0.275053303411501	0.00663196636956072	0.00957155582142356	2.17835768474235
ENSMUSG00000026786.14|Apbb1ip	Apbb1ip	-52.5907153099077	-5.71673621458177	2.4012284034884e-13	1.72420837414696e-12	-12.6195665281325
ENSMUSG00000026788.13|Zbtb43	Zbtb43	-1.04164877331147	-0.0588689067721093	0.475769153205559	0.517410805674248	-0.322603719143832
ENSMUSG00000026790.19|Odf2	Odf2	1.13220539737416	0.179135706308255	0.0188705922167683	0.0256860709980415	1.72421447013508
ENSMUSG00000026791.14|Slc2a8	Slc2a8	2.16560051059461	1.11476713281708	6.87680496274018e-10	2.65103843194869e-09	9.162613292774
ENSMUSG00000026792.16|Lrsam1	Lrsam1	1.05109355682618	0.0718910879128867	0.379547233156414	0.420305430353324	0.420734170169678
ENSMUSG00000026796.16|Fam129b	Fam129b	-1.3011200930089	-0.379754128537126	2.31264604524334e-06	5.24545802082376e-06	-5.63589083171735
ENSMUSG00000026797.16|Stxbp1	Stxbp1	-1.22024756888441	-0.28717387743379	0.000400860623394377	0.000673100490457783	-3.39700660247342
ENSMUSG00000026798.10|Coq4	Coq4	1.15933608004338	0.213298849974179	0.0655702634847055	0.0823582309631594	1.18329307117985
ENSMUSG00000026799.15|Med27	Med27	-2.18206928463801	-1.12569691056012	4.30052475547103e-10	1.72768136745852e-09	-9.36647854802492
ENSMUSG00000026803.17|Ttf1	Ttf1	1.32282741777912	0.403624853184786	6.28582587505081e-05	0.000117621070378985	4.20163765363215
ENSMUSG00000026806.15|Ddx31	Ddx31	-2.98396983006693	-1.57723294905399	2.58046476342822e-15	2.9759324401903e-14	-14.5883020668995
ENSMUSG00000026809.15|Spaca9	Spaca9	-1.46769438904122	-0.553551593988283	0.0115999379677669	0.0161817948562621	-1.9355443332152
ENSMUSG00000026810.12|Dpm2	Dpm2	1.12105257266211	0.164853936074164	0.0614033319371338	0.0775169480538833	1.21180806204043
ENSMUSG00000026811.18|St6galnac6	St6galnac6	2.79364171396526	1.48214700620539	1.5126521930241e-15	1.82953137140317e-14	14.8202609186488
ENSMUSG00000026812.16|Tsc1	Tsc1	-1.04318416379103	-0.0609938738058995	0.40100834889642	0.442347744501444	-0.396846585380067
ENSMUSG00000026814.16|Eng	Eng	-6.61501913278723	-2.72574532925336	1.67956175810241e-09	6.0576206255445e-09	-8.77480402236118
ENSMUSG00000026816.14|Gtf3c5	Gtf3c5	1.20023438169824	0.263316162746685	0.00142158404202744	0.00223400266486163	2.84722746034226
ENSMUSG00000026817.14|Ak1	Ak1	2.99641924059535	1.58323949095734	1.48233863655454e-07	3.95531899442863e-07	6.82905257153411
ENSMUSG00000026819.15|Slc25a25	Slc25a25	-3.87626346094089	-1.9546666308344	8.68039035579275e-17	1.40149781803646e-15	-16.0614607442296
ENSMUSG00000026820.5|Ptges2	Ptges2	-1.32362864521134	-0.40449841907887	0.000641696811673464	0.00105022428042959	-3.19267011853343
ENSMUSG00000026821.15|Ralgds	Ralgds	2.34210916681426	1.22780832210346	8.54473667710639e-16	1.08746121721793e-14	15.068301316377
ENSMUSG00000026822.14|Lcn2	Lcn2	1.57794233433738	0.658044483243875	1.04653991725584e-07	2.84534557415732e-07	6.98024420209517
ENSMUSG00000026825.17|Dnm1	Dnm1	1.99222507839832	0.994380649988941	5.84857381191597e-09	1.92084960317693e-08	8.23295002470897
ENSMUSG00000026826.13|Nr4a2	Nr4a2	-2.40400334775567	-1.26543890511197	2.31892431371354e-10	9.75249211220525e-10	-9.63471342586524
ENSMUSG00000026827.12|Gpd2	Gpd2	-1.5425554509638	-0.625322351541685	2.33728804669374e-10	9.81761724785797e-10	-9.63128776198482
ENSMUSG00000026836.15|Acvr1	Acvr1	-1.71331525418135	-0.776790635250224	6.52682320365755e-11	2.98709993181818e-10	-10.1852981511643
ENSMUSG00000026837.15|Col5a1	Col5a1	-5.79059892941329	-2.53371257581499	4.28517451479267e-17	7.48561279197393e-16	-16.3680314866304
ENSMUSG00000026839.17|Upp2	Upp2	1.87073563122834	0.903605694086884	0.00444236596006857	0.00655638238784244	2.35238566733376
ENSMUSG00000026842.16|Abl1	Abl1	1.28208182090726	0.358488335942925	1.02999207383497e-05	2.12879591930473e-05	4.98716611733656
ENSMUSG00000026843.15|Fubp3	Fubp3	-1.18577066787082	-0.245825014674977	0.000671951030104367	0.00109763265130674	-3.17266237594973
ENSMUSG00000026848.14|Tor1b	Tor1b	-1.0622020346617	-0.0870581980469805	0.222525814380987	0.257434044399203	-0.652619600894664
ENSMUSG00000026849.18|Tor1a	Tor1a	-1.27003129577461	-0.344864047944315	0.000199468211667137	0.000348979842494838	-3.70012630598
ENSMUSG00000026851.9|BC005624	BC005624	1.5681176030207	0.649033760302903	1.23341046670378e-08	3.8594997700091e-08	7.90889237047724
ENSMUSG00000026853.15|Crat	Crat	1.32763790439973	0.40886172442707	4.47340533420412e-05	8.51788820300723e-05	4.34936174872367
